"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 180, 'O', 430, 2.052]"
"['Ti', 180, 'O', 489, 2.171]"
"['Ti', 181, 'O', 417, 1.951]"
"['Ti', 181, 'O', 418, 1.768]"
"['Ti', 181, 'O', 419, 2.121]"
"['Ti', 181, 'O', 433, 2.111]"
"['Ti', 181, 'O', 492, 1.874]"
"['Ti', 182, 'O', 419, 2.186]"
"['Ti', 182, 'O', 420, 2.05]"
"['Ti', 182, 'O', 421, 1.916]"
"['Ti', 182, 'O', 422, 1.919]"
"['Ti', 182, 'O', 436, 1.65]"
"['Ti', 182, 'O', 495, 1.81]"
"['Ti', 183, 'O', 422, 1.857]"
"['Ti', 183, 'O', 423, 1.836]"
"['Ti', 183, 'O', 424, 2.193]"
"['Ti', 183, 'O', 425, 2.173]"
"['Ti', 183, 'O', 439, 1.669]"
"['Ti', 183, 'O', 498, 2.187]"
"['Ti', 184, 'O', 425, 2.16]"
"['Ti', 184, 'O', 426, 1.815]"
"['Ti', 184, 'O', 427, 1.847]"
"['Ti', 184, 'O', 428, 1.966]"
"['Ti', 184, 'O', 442, 1.796]"
"['Ti', 184, 'O', 501, 1.896]"
"['Ti', 185, 'O', 416, 1.907]"
"['Ti', 185, 'O', 428, 1.9]"
"['Ti', 185, 'O', 429, 2.166]"
"['Ti', 185, 'O', 430, 1.829]"
"['Ti', 185, 'O', 445, 2.172]"
"['Ti', 185, 'O', 504, 1.845]"
"['Ti', 186, 'O', 431, 2.034]"
"['Ti', 186, 'O', 432, 2.194]"
"['Ti', 186, 'O', 433, 1.956]"
"['Ti', 186, 'O', 434, 1.98]"
"['Ti', 186, 'O', 448, 2.038]"
"['Ti', 186, 'O', 507, 1.703]"
"['Ti', 187, 'O', 434, 2.188]"
"['Ti', 187, 'O', 435, 1.891]"
"['Ti', 187, 'O', 436, 2.177]"
"['Ti', 187, 'O', 437, 1.709]"
"['Ti', 187, 'O', 451, 2.118]"
"['Ti', 187, 'O', 510, 2.155]"
"['Ti', 188, 'O', 437, 2.162]"
"['Ti', 188, 'O', 438, 2.001]"
"['Ti', 188, 'O', 439, 2.198]"
"['Ti', 188, 'O', 440, 2.188]"
"['Ti', 188, 'O', 454, 1.733]"
"['Ti', 188, 'O', 513, 1.884]"
"['Ti', 189, 'O', 440, 2.035]"
"['Ti', 189, 'O', 441, 1.934]"
"['Ti', 189, 'O', 442, 2.18]"
"['Ti', 189, 'O', 443, 1.908]"
"['Ti', 189, 'O', 457, 1.951]"
"['Ti', 189, 'O', 516, 2.199]"
"['Ti', 190, 'O', 443, 1.714]"
"['Ti', 190, 'O', 444, 2.186]"
"['Ti', 190, 'O', 445, 1.794]"
"['Ti', 190, 'O', 460, 1.913]"
"['Ti', 190, 'O', 519, 2.165]"
"['Ti', 191, 'O', 447, 2.023]"
"['Ti', 191, 'O', 448, 1.904]"
"['Ti', 191, 'O', 449, 1.69]"
"['Ti', 191, 'O', 463, 1.882]"
"['Ti', 191, 'O', 522, 1.872]"
"['Ti', 192, 'O', 449, 2.105]"
"['Ti', 192, 'O', 450, 1.771]"
"['Ti', 192, 'O', 451, 2.119]"
"['Ti', 192, 'O', 452, 1.899]"
"['Ti', 192, 'O', 466, 2.199]"
"['Ti', 192, 'O', 525, 1.943]"
"['Ti', 193, 'O', 452, 1.927]"
"['Ti', 193, 'O', 453, 1.856]"
"['Ti', 193, 'O', 454, 2.177]"
"['Ti', 193, 'O', 455, 2.196]"
"['Ti', 193, 'O', 469, 2.193]"
"['Ti', 193, 'O', 528, 2.145]"
"['Ti', 194, 'O', 455, 2.187]"
"['Ti', 194, 'O', 456, 1.894]"
"['Ti', 194, 'O', 457, 1.76]"
"['Ti', 194, 'O', 458, 2.186]"
"['Ti', 194, 'O', 472, 2.189]"
"['Ti', 194, 'O', 531, 2.194]"
"['Ti', 195, 'O', 446, 1.875]"
"['Ti', 195, 'O', 458, 1.692]"
"['Ti', 195, 'O', 459, 2.109]"
"['Ti', 195, 'O', 460, 1.957]"
"['Ti', 195, 'O', 475, 2.179]"
"['Ti', 195, 'O', 534, 2.088]"
"['Ti', 196, 'O', 461, 1.981]"
"['Ti', 196, 'O', 462, 2.176]"
"['Ti', 196, 'O', 463, 2.151]"
"['Ti', 196, 'O', 464, 1.901]"
"['Ti', 196, 'O', 537, 1.814]"
"['Ti', 197, 'O', 464, 2.182]"
"['Ti', 197, 'O', 465, 2.136]"
"['Ti', 197, 'O', 466, 2.046]"
"['Ti', 197, 'O', 467, 2.082]"
"['Ti', 197, 'O', 540, 1.627]"
