"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Bi', 87, 'Ti', 139, 3.608]"
"['Bi', 87, 'Ti', 158, 3.221]"
"['Bi', 87, 'Ti', 159, 3.38]"
"['Bi', 87, 'Ti', 163, 3.388]"
"['Bi', 87, 'Ti', 164, 3.301]"
"['Bi', 87, 'O', 272, 4.868]"
"['Bi', 87, 'O', 274, 4.868]"
"['Bi', 87, 'O', 275, 3.158]"
"['Bi', 87, 'O', 278, 4.884]"
"['Bi', 87, 'O', 287, 4.458]"
"['Bi', 87, 'O', 289, 3.191]"
"['Bi', 87, 'O', 290, 2.816]"
"['Bi', 87, 'O', 292, 3.194]"
"['Bi', 87, 'O', 304, 4.529]"
"['Bi', 87, 'O', 307, 4.915]"
"['Bi', 87, 'O', 347, 4.861]"
"['Bi', 87, 'O', 348, 2.698]"
"['Bi', 87, 'O', 349, 4.409]"
"['Bi', 87, 'O', 350, 2.756]"
"['Bi', 87, 'O', 351, 3.182]"
"['Bi', 87, 'O', 352, 4.336]"
"['Bi', 87, 'O', 353, 4.929]"
"['Bi', 87, 'O', 362, 4.942]"
"['Bi', 87, 'O', 363, 2.48]"
"['Bi', 87, 'O', 364, 2.261]"
"['Bi', 87, 'O', 365, 2.25]"
"['Bi', 87, 'O', 366, 3.198]"
"['Bi', 87, 'O', 367, 2.747]"
"['Bi', 87, 'O', 368, 4.47]"
"['Bi', 87, 'O', 379, 4.322]"
"['Bi', 87, 'O', 382, 4.222]"
"['Bi', 87, 'O', 423, 4.34]"
"['Bi', 87, 'O', 426, 4.979]"
"['Bi', 87, 'O', 438, 4.268]"
"['Bi', 87, 'O', 441, 4.261]"
"['Bi', 88, 'Na', 32, 3.6]"
"['Bi', 88, 'Na', 41, 3.834]"
"['Bi', 88, 'Bi', 76, 4.055]"
"['Bi', 88, 'Bi', 84, 4.026]"
"['Bi', 88, 'Bi', 87, 3.853]"
"['Bi', 88, 'Bi', 88, 0.0]"
"['Bi', 88, 'Ti', 134, 3.39]"
"['Bi', 88, 'Ti', 135, 3.593]"
"['Bi', 88, 'Ti', 139, 3.11]"
"['Bi', 88, 'Ti', 140, 3.796]"
"['Bi', 88, 'Ti', 159, 3.272]"
"['Bi', 88, 'Ti', 160, 3.351]"
"['Bi', 88, 'Ti', 164, 3.322]"
"['Bi', 88, 'Ti', 165, 3.078]"
"['Bi', 88, 'O', 275, 4.589]"
"['Bi', 88, 'O', 278, 2.572]"
"['Bi', 88, 'O', 279, 4.825]"
"['Bi', 88, 'O', 290, 4.398]"
"['Bi', 88, 'O', 292, 2.658]"
"['Bi', 88, 'O', 293, 3.058]"
"['Bi', 88, 'O', 295, 3.193]"
"['Bi', 88, 'O', 307, 4.786]"
"['Bi', 88, 'O', 341, 4.804]"
"['Bi', 88, 'O', 350, 4.622]"
"['Bi', 88, 'O', 351, 3.039]"
"['Bi', 88, 'O', 352, 4.7]"
"['Bi', 88, 'O', 353, 3.163]"
"['Bi', 88, 'O', 354, 2.778]"
"['Bi', 88, 'O', 355, 4.428]"
"['Bi', 88, 'O', 365, 4.528]"
"['Bi', 88, 'O', 366, 2.183]"
"['Bi', 88, 'O', 367, 2.81]"
"['Bi', 88, 'O', 368, 2.144]"
"['Bi', 88, 'O', 369, 3.184]"
"['Bi', 88, 'O', 370, 3.167]"
"['Bi', 88, 'O', 382, 4.466]"
"['Bi', 88, 'O', 385, 4.665]"
"['Bi', 88, 'O', 426, 4.823]"
"['Bi', 88, 'O', 429, 4.786]"
"['Bi', 88, 'O', 441, 4.365]"
"['Bi', 88, 'O', 444, 4.505]"
"['Bi', 89, 'Na', 32, 3.858]"
"['Bi', 89, 'Bi', 89, 0.0]"
"['Bi', 89, 'Bi', 100, 3.871]"
"['Bi', 89, 'Ti', 140, 3.414]"
"['Bi', 89, 'Ti', 145, 3.33]"
"['Bi', 89, 'Ti', 165, 3.375]"
"['Bi', 89, 'Ti', 170, 3.302]"
"['Bi', 89, 'O', 293, 4.867]"
"['Bi', 89, 'O', 295, 4.55]"
"['Bi', 89, 'O', 308, 4.674]"
"['Bi', 89, 'O', 309, 4.54]"
"['Bi', 89, 'O', 310, 2.908]"
"['Bi', 89, 'O', 325, 4.485]"
